set,algorithm,id,size,time
"Alpha, A, C and AC",Generated,1,100,30.52e-06
"Alpha, A, C and AC",Generated,2,100,22.64e-06
"Alpha, A, C and AC",Generated,3,100,35.55e-06
"Alpha, A, C and AC",Generated,4,100,16.75e-06
"Alpha, A, C and AC",Generated,5,100,21.61e-06
"Alpha, A, C and AC",Improved,1,100,1.27e-06
"Alpha, A, C and AC",Improved,2,100,2.80e-06
"Alpha, A, C and AC",Improved,3,100,2.25e-06
"Alpha, A, C and AC",Improved,4,100,6.80e-06
"Alpha, A, C and AC",Improved,5,100,1.88e-06
"Alpha, A, C and AC",Generated,6,100,19.70e-06
"Alpha, A, C and AC",Generated,7,100,17.94e-06
"Alpha, A, C and AC",Generated,8,100,8.33e-06
"Alpha, A, C and AC",Generated,9,100,46.90e-06
"Alpha, A, C and AC",Generated,10,100,18.75e-06
"Alpha, A, C and AC",Improved,6,100,4.26e-06
"Alpha, A, C and AC",Improved,7,100,3.13e-06
"Alpha, A, C and AC",Improved,8,100,3.73e-06
"Alpha, A, C and AC",Improved,9,100,3.54e-06
"Alpha, A, C and AC",Improved,10,100,2.33e-06
"Alpha, A, C and AC",Generated,11,100,14.83e-06
"Alpha, A, C and AC",Generated,12,100,36.66e-06
"Alpha, A, C and AC",Generated,13,100,25.04e-06
"Alpha, A, C and AC",Generated,14,100,17.05e-06
"Alpha, A, C and AC",Generated,15,100,21.12e-06
"Alpha, A, C and AC",Improved,11,100,3.29e-06
"Alpha, A, C and AC",Improved,12,100,4.64e-06
"Alpha, A, C and AC",Improved,13,100,6.28e-06
"Alpha, A, C and AC",Improved,14,100,5.08e-06
"Alpha, A, C and AC",Improved,15,100,7.41e-06
"Alpha, A, C and AC",Generated,16,100,10.21e-06
"Alpha, A, C and AC",Generated,17,100,35.46e-06
"Alpha, A, C and AC",Generated,18,100,16.78e-06
"Alpha, A, C and AC",Generated,19,100,20.30e-06
"Alpha, A, C and AC",Generated,20,100,10.93e-06
"Alpha, A, C and AC",Improved,16,100,2.72e-06
"Alpha, A, C and AC",Improved,17,100,14.30e-06
"Alpha, A, C and AC",Improved,18,100,7.85e-06
"Alpha, A, C and AC",Improved,19,100,8.06e-06
"Alpha, A, C and AC",Improved,20,100,1.45e-06
"Alpha, A, C and AC",Generated,21,100,17.54e-06
"Alpha, A, C and AC",Generated,22,100,6.97e-06
"Alpha, A, C and AC",Generated,23,100,7.05e-06
"Alpha, A, C and AC",Generated,24,100,20.43e-06
"Alpha, A, C and AC",Generated,25,100,28.75e-06
"Alpha, A, C and AC",Improved,21,100,5.70e-06
"Alpha, A, C and AC",Improved,22,100,2.40e-06
"Alpha, A, C and AC",Improved,23,100,2.36e-06
"Alpha, A, C and AC",Improved,24,100,7.82e-06
"Alpha, A, C and AC",Improved,25,100,2.46e-06
"Alpha, A, C and AC",Generated,26,200,22.95e-06
"Alpha, A, C and AC",Generated,27,200,93.92e-06
"Alpha, A, C and AC",Generated,28,200,38.10e-06
"Alpha, A, C and AC",Generated,29,200,491.51e-06
"Alpha, A, C and AC",Generated,30,200,46.63e-06
"Alpha, A, C and AC",Improved,26,200,9.77e-06
