set,algorithm,id,size,time
Alpha,Generated,26,102,7.33e-06
Alpha,Generated,27,102,6.02e-06
Alpha,Generated,28,102,8.22e-06
Alpha,Generated,29,102,8.52e-06
Alpha,Generated,30,102,8.17e-06
Alpha,Improved,26,102,3.69e-06
Alpha,Improved,27,102,3.03e-06
Alpha,Improved,28,102,4.87e-06
Alpha,Improved,29,102,4.78e-06
Alpha,Improved,30,102,4.45e-06
Alpha,Generated,31,102,1.79e-06
Alpha,Generated,32,102,1.86e-06
Alpha,Generated,33,102,1.83e-06
Alpha,Generated,34,102,1.61e-06
Alpha,Generated,35,102,5.59e-06
Alpha,Improved,31,102,686.66e-09
Alpha,Improved,32,102,825.38e-09
Alpha,Improved,33,102,707.40e-09
Alpha,Improved,34,102,574.05e-09
Alpha,Improved,35,102,3023.27e-09
Alpha,Generated,36,102,1.33e-06
Alpha,Generated,37,102,2.89e-06
Alpha,Generated,38,102,3.24e-06
Alpha,Generated,39,102,3.72e-06
Alpha,Generated,40,102,1.47e-06
Alpha,Improved,36,102,890.18e-09
Alpha,Improved,37,102,2641.82e-09
Alpha,Improved,38,102,3608.03e-09
Alpha,Improved,39,102,3307.28e-09
Alpha,Improved,40,102,727.78e-09
Alpha,Generated,41,102,2.34e-06
Alpha,Generated,42,102,5.47e-06
Alpha,Generated,43,102,5.20e-06
Alpha,Generated,44,102,10.96e-06
Alpha,Generated,45,102,5.41e-06
Alpha,Improved,41,102,1.61e-06
Alpha,Improved,42,102,2.58e-06
Alpha,Improved,43,102,2.45e-06
Alpha,Improved,44,102,7.31e-06
Alpha,Improved,45,102,2.62e-06
Alpha,Generated,46,102,11.33e-06
Alpha,Generated,47,102,6.31e-06
Alpha,Generated,48,102,5.92e-06
Alpha,Generated,49,102,1.97e-06
Alpha,Generated,50,102,6.52e-06
Alpha,Improved,46,102,7957.12e-09
Alpha,Improved,47,102,3266.66e-09
Alpha,Improved,48,102,3068.07e-09
Alpha,Improved,49,102,501.34e-09
Alpha,Improved,50,102,3142.55e-09
Alpha,Generated,51,202,13.12e-06
Alpha,Generated,52,202,25.29e-06
Alpha,Generated,53,202,6.49e-06
Alpha,Generated,54,202,14.76e-06
Alpha,Generated,55,202,24.33e-06
Alpha,Improved,51,202,7.21e-06
Alpha,Improved,52,202,16.43e-06
Alpha,Improved,53,202,2.74e-06
Alpha,Improved,54,202,8.71e-06
Alpha,Improved,55,202,16.22e-06
Alpha,Generated,56,202,6.08e-06
Alpha,Generated,57,202,4.15e-06
Alpha,Generated,58,202,2.20e-06
Alpha,Generated,59,202,10.40e-06
Alpha,Generated,60,202,2.95e-06
Alpha,Improved,56,202,3341.13e-09
Alpha,Improved,57,202,1989.62e-09
Alpha,Improved,58,202,683.16e-09
Alpha,Improved,59,202,6511.63e-09
Alpha,Improved,60,202,1132.48e-09
Alpha,Generated,61,202,15.38e-06
Alpha,Generated,62,202,2.24e-06
Alpha,Generated,63,202,11.31e-06
Alpha,Generated,64,202,14.52e-06
Alpha,Generated,65,202,9.46e-06
Alpha,Improved,61,202,19.89e-06
Alpha,Improved,62,202,1.40e-06
Alpha,Improved,63,202,13.40e-06
Alpha,Improved,64,202,9.65e-06
Alpha,Improved,65,202,5.03e-06
Alpha,Generated,66,202,5.73e-06
Alpha,Generated,67,202,11.74e-06
Alpha,Generated,68,202,11.38e-06
Alpha,Generated,69,202,8.48e-06
Alpha,Generated,70,202,7.72e-06
Alpha,Improved,66,202,2.86e-06
Alpha,Improved,67,202,7.37e-06
Alpha,Improved,68,202,12.75e-06
Alpha,Improved,69,202,9.65e-06
Alpha,Improved,70,202,7.28e-06
Alpha,Generated,71,202,37.99e-06
Alpha,Generated,72,202,22.49e-06
Alpha,Generated,73,202,8.26e-06
Alpha,Generated,74,202,33.62e-06
Alpha,Generated,75,202,30.24e-06
Alpha,Improved,71,202,26.44e-06
Alpha,Improved,72,202,14.50e-06
Alpha,Improved,73,202,3.96e-06
Alpha,Improved,74,202,22.73e-06
Alpha,Improved,75,202,20.91e-06
Alpha,Generated,76,302,8.36e-06
Alpha,Generated,77,302,37.93e-06
Alpha,Generated,78,302,33.54e-06
Alpha,Generated,79,302,52.78e-06
Alpha,Generated,80,302,48.68e-06
Alpha,Improved,76,302,5.07e-06
Alpha,Improved,77,302,27.78e-06
Alpha,Improved,78,302,19.60e-06
Alpha,Improved,79,302,37.68e-06
Alpha,Improved,80,302,32.80e-06
Alpha,Generated,81,302,3.63e-06
Alpha,Generated,82,302,20.11e-06
Alpha,Generated,83,302,3.71e-06
Alpha,Generated,84,302,41.24e-06
Alpha,Generated,85,302,12.81e-06
Alpha,Improved,81,302,1.28e-06
Alpha,Improved,82,302,12.71e-06
Alpha,Improved,83,302,1.35e-06
Alpha,Improved,84,302,26.78e-06
Alpha,Improved,85,302,7.42e-06
Alpha,Generated,86,302,36.56e-06
Alpha,Generated,87,302,11.10e-06
Alpha,Generated,88,302,13.01e-06
Alpha,Generated,89,302,7.80e-06
Alpha,Generated,90,302,11.07e-06
Alpha,Improved,86,302,25.83e-06
Alpha,Improved,87,302,6.43e-06
Alpha,Improved,88,302,7.47e-06
Alpha,Improved,89,302,4.00e-06
Alpha,Improved,90,302,6.38e-06
Alpha,Generated,91,302,26.80e-06
Alpha,Generated,92,302,12.99e-06
Alpha,Generated,93,302,14.32e-06
Alpha,Generated,94,302,10.40e-06
Alpha,Generated,95,302,11.43e-06
Alpha,Improved,91,302,17.53e-06
Alpha,Improved,92,302,7.89e-06
Alpha,Improved,93,302,9.01e-06
Alpha,Improved,94,302,5.98e-06
Alpha,Improved,95,302,6.64e-06
Alpha,Generated,96,302,5.21e-06
Alpha,Generated,97,302,3.63e-06
Alpha,Generated,98,302,7.73e-06
Alpha,Generated,99,302,13.98e-06
Alpha,Generated,100,302,15.20e-06
Alpha,Improved,96,302,2.38e-06
Alpha,Improved,97,302,1.24e-06
Alpha,Improved,98,302,3.88e-06
Alpha,Improved,99,302,8.71e-06
Alpha,Improved,100,302,9.21e-06
Alpha,Generated,101,402,4.29e-06
Alpha,Generated,102,402,7.76e-06
Alpha,Generated,103,402,13.43e-06
Alpha,Generated,104,402,11.67e-06
Alpha,Generated,105,402,20.01e-06
Alpha,Improved,101,402,1.36e-06
Alpha,Improved,102,402,3.34e-06
Alpha,Improved,103,402,8.07e-06
Alpha,Improved,104,402,6.22e-06
Alpha,Improved,105,402,11.78e-06
Alpha,Generated,106,402,5.07e-06
Alpha,Generated,107,402,12.41e-06
Alpha,Generated,108,402,32.70e-06
Alpha,Generated,109,402,22.17e-06
Alpha,Generated,110,402,8.09e-06
Alpha,Improved,106,402,1.92e-06
Alpha,Improved,107,402,6.56e-06
Alpha,Improved,108,402,22.68e-06
Alpha,Improved,109,402,14.83e-06
Alpha,Improved,110,402,3.70e-06
Alpha,Generated,111,402,10.04e-06
Alpha,Generated,112,402,25.69e-06
Alpha,Generated,113,402,9.29e-06
Alpha,Generated,114,402,10.35e-06
Alpha,Generated,115,402,5.48e-06
Alpha,Improved,111,402,10.51e-06
Alpha,Improved,112,402,32.42e-06
Alpha,Improved,113,402,8.55e-06
Alpha,Improved,114,402,7.98e-06
Alpha,Improved,115,402,2.43e-06
Alpha,Generated,116,402,39.01e-06
Alpha,Generated,117,402,83.69e-06
Alpha,Generated,118,402,62.80e-06
Alpha,Generated,119,402,16.91e-06
Alpha,Generated,120,402,22.95e-06
Alpha,Improved,116,402,24.54e-06
Alpha,Improved,117,402,55.63e-06
Alpha,Improved,118,402,26.99e-06
Alpha,Improved,119,402,7.62e-06
Alpha,Improved,120,402,13.34e-06
Alpha,Generated,121,402,36.10e-06
Alpha,Generated,122,402,28.39e-06
Alpha,Generated,123,402,11.57e-06
Alpha,Generated,124,402,43.07e-06
Alpha,Generated,125,402,16.32e-06
Alpha,Improved,121,402,49.33e-06
Alpha,Improved,122,402,35.28e-06
Alpha,Improved,123,402,11.81e-06
Alpha,Improved,124,402,55.41e-06
Alpha,Improved,125,402,17.01e-06
Alpha,Generated,126,502,20.01e-06
Alpha,Generated,127,502,31.72e-06
Alpha,Generated,128,502,22.40e-06
Alpha,Generated,129,502,13.14e-06
Alpha,Generated,130,502,43.39e-06
Alpha,Improved,126,502,12.30e-06
Alpha,Improved,127,502,19.88e-06
Alpha,Improved,128,502,13.54e-06
Alpha,Improved,129,502,6.83e-06
Alpha,Improved,130,502,30.62e-06
Alpha,Generated,131,502,54.34e-06
Alpha,Generated,132,502,16.18e-06
